author,text,label
@sigitsamudrarizki55,mau curhat pengalaman beli hp ginian february waktu hp ginian blm booming pernah muncul di beranda salah satu ecommerce yang biasa ibu saya pake dengan harga k saat itu spek yang di tawarkan jelas menggiurkan ram gb internal gb soc octa core kaga disebutin apaan triple kamera blablabla dsb dengan segala macam gimmicknya dari sini saya udh tau jelas kalo ada yang kaga beres sama ini hp tapi ibu saya yang udh kegiur spek yang ditawarin akhirnya beli nih hp dengan resiko k hangus kalo emang kaga sesuai yang disebut seller selang beberapa hari datanglah hpnya saya cek speknya hanya spek yang dikatain seller bener yang beda ada di ram yang ternyata cuma gb internal gb sama kamera cuma ada biji mp ibu saya udh kecewa disini tapi yaudah emang diniati ambil resiko utk rugi nah inti cerita baru mulai dari sini adek saya kelas smp waktu itu dia butuh hp buat belajar daring sedangkan hp yang dia pake saat itu samsung j ace yang mana layarnya kecil bgt cuma ibu saya yang ngga tega akhrinya ngasih hp abal ini ke adek saya karena ukuran layarnya yang jauh lebih gede yaitu sebulan awal pemakaian muncul hal aneh misal sering kedengeran suara panggilan padahal kaga pencet apapun dan ngga pernah adek saya nelpon via pulsa telepon biasa sering juga adek saya dapet chat whatsapp dari nomor luar negeri trus kadang ada sms yang kekirim ke nomor asing padahal kaga pernah diketik adek saya suatu hari whatsapp adek saya ditelpon org australia dilihat dari komor telponnya karena adek saya takut mau jawab jadi saya yang jawab setelah saya angkat ternyata beneran yang nelpon org australia setelah saya tanya dari mana dia tau nomor adek saya kata dia justru dia lg telpon balik nomor adek saya soalnya adek saya misscall dia berkalikali nah gimana cerita coba adek saya nelpon org yang kaga pernah ditelpon bahkan kaga kenal samsek udh ngerasa aneh sama hp ini trus muncul berita ini nah terjawab sudah misterinya wkwk maap curhatnya kepanjangan saya cuma ngga mau ada org lain yang bernasib sama kaya adek saya,negative
@sayastress892,nabung buat beli komponen komponennya doain biar bisa terwujud gaes,neutral
@stevenpaputungan1366,bener david jujur kalau nge review kalau jelek dia bilang jelek kalau bagus dia bilang bagus gak ada yang dia sembunyikan saya beli hp selalu lihat david review duluan baru berani beli mantap bang david lanjut terus untuk selalu berbagi hal baik,positive
@ghosttranslations8577,aku suka videonya bang davidv soalnya setiap ngereview bukannya nyanjung produknya malah ini lebih seimbang kalau bagus yah bilang bagus jeleknya juga diterangin,positive
@ibenkk2023,content creator yang sangat jujur tentang produk yang dia reviewtanpa memperhatikan endorse yang mungkin mengontrak nyakeren,positive
@ferdianwar6418,gua penasaran aja gimana respon ceo produk barang itu ketika liat bang david banting charger sambil ngakak,negative
@aryanggiputra8210,sempat kegocekpas liat hp jutaan pas liat reviewnya behh terima kasih bang david udah buat reviewnya biasanya hp gini targetnya bapakibu yang gaptek gatau model hp yang tau harga doang,negative
@margaretdaughtry9626,akhirnya dengan monitor ultrawide yang super lebar coki bisa menonton lebih dari mma sekaligus,positive
@fajarcahyono3693,malu gak sih yang katanya elite global dengan segala konotasi negatifnya yang malah bisa bermanfaat buat rakyat di pedalaman eh yang katanya si paling plat merah bekerja deni rakyat bikin layanan internet aja ampas bener kualitasnya jauh banget dibanding starlink apalagi di pedalaman,negative
@Khoirulimam5247,emg udh gila bangv,negative
@dayatadjah642,wowini baru review yang out of the box banget review barang kw yang nggk lain untuk kita lebih hati dlm membelithank bang david,negative
@globaltransporterindonesia1211,hp ini spek aslinya di android lollipop lalu punya kamera belakang satu buah ukuran mp dan depan mp depan belakang ram bawaan yang cuma battery yang ukuran nya mah dengan android yang udah di custom sedemikian rupa bahkan kebanyakan belum support g rata g tentunya sangat sulit untuk hp ini bekerja beda sekali dengan samsung atau android resmi lain nya yang menggunakan os lama pun tidak akan separah ini untuk tahun paling tidak support aplikasi baru tidak sampai gagal menginstal seperti di video ini intinya jika ingin hp murah dan bagus belilah brand yang pembelinya banyak meskipun seperti evercross atau advan masih lebih worth dibanding ini,positive
@PanjulKrenz469,sekilas it dan kudet tech finally our battle will be legendary,neutral
@salestinusjohanrantelobo5553,jujur ajah nih channel salah channel buat ku melihat hp seblum membeli hp heheh worked lah bang david teruslah unboxing produk secara jujur dan terus terang,positive
@AntonXie10,konten edukasi ala pesulap merah versi teknologi gadget agar para pembeli tidak mudah tertipu dengan iming iming handphone harga murah spesifikasi mantap,neutral
@Pemudaintrovert93,keren sekali inovasi elon musk ini membantu orang yang daerahnya minim jaringan bisa internet an tanpa hambatanhalangan indonesia pun sudah mencoba teknologi begini,positive
@zamzamy284,keren nya bang david itu kalo review jujur bgt jelek ya dibilang jelek bagus ya dibilang bagus gak peduli itu merk hp apapun kelass,negative
@yudhapurwanto703,justru umur yang beli ginian rata rentang tahunan masih muda tapi masih gagap teknologi literasi baca awareness peduli untuk mencari tahu minimal punya pikiran mungkin ngga sih itu aja kalo orang tua rata dapatnya itu dr konter sodara kerabat dan brandnya yang pasti minimal samsung terus ke oppo contoh paling ngenes adalah misal oppo as ram gini aja oppo official bahkan website spek macem gsmarena ngga pernah menelusuri adanya resmi itu dapat darimana selain suntikan yang kalo dipikirin mending beli yang seken lebih rendah spek tapi benar asli dari pabrikan coba cek di fjb diajak debat pun malah galak yang jual sekennya beli begituan padahal dalam hati mereka sendiri mereka kecewa dan menyesal ngga sesuai ekspetasi mereka bukannya mencerdaskan malah mencari korban untuk merasakan yang dialami,negative
@Unknown-ls7gc,mantapppakhirnya review hp harga jutaan dengan spesifikasi menggiurkan karna saya sangat percaya konten bang david jujurmau bilang hp itu jelekbagusnya,positive
@Sam_578,wah sekarang kalau beli apaapa harus serba hatihati dan teliti terima kasih gadgetin sudah memberikan review setidaknya sebagian pemirsa youtube tau,positive
@anonimusmr.2305,senang liat david review hp abal kasian banyak yang ketipu dengan spek dewa tapi sampah semoga jadi pembelajaran,negative
@kelirejooke1564,nah bisa bantu guru dan muridnya di pedalaman yang tidak da akses internet sama sekaligk perlu turun gunung buat laporan kinerja dll,neutral
@pernahbahagia8830,dari awal review sampe akhir ngakak anjirrr mantap bang david cara reviewnya sangat detail semoga bang david para crew yang di belakang kamera selalu sehat amin,positive
@ameyraaidah1226,selama ada bang david orang tidak bisa dibodohin lagi wkwk,negative
@yapghazz7862,untuk daerah t tertinggalterdepan dan terluar starlink sangat cocok kabarnya satelit bri palapa yang diluncurkan beberapa tahun lalusalah satunya untuk menjangkau daerah tertinggal namun hingga kini tidak jelas ujungnya dikarenakan ruang di derah t masih terbuka yang tidak menghalangi penerima sinyal di receivernya tapi starlink tidak akan mampu bersaing di kotakota besar yang sudah di kuasai kabel fo selain karena bandwidth yang stabil juga masih terjangkau biaya bulananya yang masih di bawah rban makanya aku tidak heran kalo review tim gadgetin di ruang terbuka coba review juga di dalam kota dan dalam gedung apa bisa mencapai segitu bandwidthnya kan tidak mungkin kita yang lokasinya dalam kota membawa perangkat starlink ke tamantaman atau lapangan untuk mencari sinyal tidak percaya sinyal starlink up and down baca saja mediamedia yang memberitakan saat elon musk launching starlink di salah satu puskesmas di bali sinyal putus nyambung membuat elon garukgaruk dengkul untuk di kotakota besar ga apple to apple membandingkan fo dan starlink ga akan bisa starlink menyainginya,positive
@yafiimaamul,lihat  rekomen asi bisa main gta di pc rb me liat laptop saya yang jt cuman bisa main battlefield dan second later banting laptop jt buat yang rb,neutral
@Aoururu,muncak bawa starlink buka jasa wifi di sana,neutral
@harvlolita6179,di video ini diperlihatkan bahwa kekuatan koneksi salah satu ras mampu mengembalikan duet yang tidak akan pernah tampil lagi di youtube gas terus gtid,neutral
@IrfanP26,nggk nyangka bang duo lucknut ini bisa bareng lagi walaupun cuma konten roasting berkedok promosi chaakkss tapi keknya cuma disini doang ya mereka tiba bisa bareng lagi keren gtid,positive
@minigarden5035,pas banget aku dan suami lagi cari hp buat bikin konten awalnya suami tergiur sama hp ini karna harga murah penyimpanannya besar karana kami kan orang awam banding sana banding sini tapi tetap tergiur bngt baru tadi malam aku bilang biasanya aku klo beli hp lihat review nya di youtube tapi gak ada yang review hp ini di cari judul dari merknya gak nemu eh paginya malah nongol sendiri terimakasih bang david emang youtuber terpercaya aku setiap mau beli hp bahkan tahun yang lalu aku beli hp juga lihat review bang david dulu konten bang david ini banyak membantu buat orang orang yang awam kaya aku terimakasih bang,positive
@SantoSK92,cuman bang edwin yang bisa mengembalikan cokmus kembali ke youtube gokil,neutral
@shiberu_7s,kak tolong bikin tutorial yang bareng casing nya,neutral
@zulmirahardja5213,bener bener simbiosis antara starlink dan pemerintah indonesia mempermudah jangkauan internet di seluruh indonesia dan sumber cuan buat bang elon yang sangat besar krna populasi indonesia sangat banyak dan sekarang pastikan untuk jaringan listrik merata ke seluruh indonesia,positive
@Happy_Ghast,di ulang ulang lucu,negative
@ikhtirilikhn86,halo kudet tech mana mungkin ribu gta di kudet tech serba bisa,negative
@RIOBARABEREEE,sebelum kopit menyerang dan membuat harganya mledak,neutral
@bagusds17,gw semua udah lengkap tinggal rakit tapi selama liat tutorial belum ada yang tutor nya sampe masang kabel yang lebih detail kabel nya rame keg mau tawuran,negative
@samsungqasir1451,stelah ini kaya ny bosbos sawit d pedalaman bakalan buka indomaret alfamart deh berkat jaringan dari starlink ini,neutral
@hermawanlesmana1106,ini baru konten bermanfaat ga cuma naikin viewer dan subriber doang tpi lbih mengedepankan edukasi,positive
@Pekovi69,seharusnya internet di indonesia secepat ini baru indonesia emas,negative
@techiesahoo7064,list berisik rumah kumuh ruang rehab son of horus demo fans realmadrid ulang tahun trompet wahyudi sarangheo manggil dajjal toko elektronik pp bendera merah summon stivejob suku dia jual kebab kursi kursi dpr bantal kosan lampu kuning anggaran tameng kdrt daus mini ngintip lobang logitech religitech lebih lama dripada masa hukuman saya ufc v maksud anda toa mosque demo koneksi jangan coblos safehouse v v wasted terima kasih kembali,neutral
@EmperorPenguinCh,sedikit seret awalnya cuma ya setelah lu mainin lu tetep bisa mainin satu jari atau satu tangan,negative
@gane5wc817,waw tutorial ngerakit bom cuman stengah juta,negative
@KevinEkoCahyoNugroho,ikut seneng meskipun jatuhnya barang hasil orang asing paling ga bisa memperluas akses informasi ke seluruh wilayah indonesia yang dari dulu menkominfo yang menjabat selalu bilang wilayah indonesia itu sangat sulit untuk pemerataan internet sudah ada jawabannya sekarang dan semoga indonesia semakin maju karena rakyatnya makin cerdas aminn,positive
@vhikarroht684,ada listrik ada langit satu lagi bang ada duit,negative
@YusufWahyuRamadhan,walaupun kw tapi menguntungkan bang david dapat adesense dari review bang davidpas ngebacain spek hpterkejut di dalam hati ketawa paling suka bagian ngelempar chargernya bang david,positive
@Brainiac1209,gini nih gw jelasin dikit buat yang takut berembun kalo pake peltier yes bner suhu peltier jauh lebih dingin bahkan sampe minus tapiiiiii bukan brati pas lo tempelin ke hp itu akan stay segitu krn suhu hpnya juga panas katakan lah ya otomatis suhu si peltier pas ditempelin juga akan naik dong gak akan minus lagi apalagi kalo kalian pasangin heatsink biar persebaran dinginnya meluas yang bikin berembun itu kalo kalian lagi gak make hpnya tapi itu peltier tetep nempel dalam keadaan nyala itu yang bikin berembun kalo udh begitu kejadiannya jangan peltiernya yang disalahin tapi yang makenya teledor,negative
@erickindratara3307,karena ini cuma ribuan berkali di mention kayak tidak iklas ngebuatnya,negative
@deckaextendo,salut gua sama lu bro dari awal tahun gua nontonin elu kayaknya elu jago banget dah press harga thumbz for ya dude,positive
@LuckyHuawei,ini baru orang yang memahami fungsi kapan internet satelit dibutuhkan dan enggak bukannya ngeluh mahal iya mahal kalau lu bandingin fiber coba liat lagi penjelasan david harga internet satelit dari provider lain,negative
@priyohadi8916,seperti biasa editor memberi warna pada jokes coki muslim,neutral
@gedeputraa8770,belum lagi minitornya eh btw rakit monitor juga coy,neutral
@salwanadhira6028,mending beli hp second dengan ram tapi lancar brand asli xiaomi dari pada hp viral ini terima kasih bang david review nya sangat mencerahkan,positive
@azkaghifari8077,fyi sebenarnya ram gb ddr untuk non server itu ada hanya saja platform intel kurang support untuk jenis ram tsb chipset intel yang bisa pake gb ddr hanya px dimana kesemua chipset tsb harus suppot total memory gb sedangkang untuk platform amd amamam tidak ada kesulitan untuk memakai jenis memory ini dikarnakan memory controller intergrated dengan cpunya sehingga chipset tidak jadi limitasi,neutral
@teknisidewacell6954,kita sangat menghargai pencipta produk iniseburukburuknya hp untuk spek hp ini memang luar biasadiharapkan kepada produsen yang terhormatjika ingin launching hp dengan spek bagusutamakan kejujuran sajacontoh memory rom internal gb dan ram gb saya sebagai teknisi pemula sangat prihatin dengan kejadian ini kalau seandainya hp dengan spek tertinggi ini rusak softwarenyamaka file rom yang kita download pasti besar sekalimungkin membutuhkan waktu hari sampai minggu untuk mendownload hp iniblm proses installnya sedangkan custom rom hp skrg standar gbdan tertinggi gb coba pikir pakai logikajika hp ini masuk dalam keadaan bootloppasti akan menyesakkan hati seluruh teknisi service hpminta maaf kepada yang buat hp ini semoga bea cukainya rendah daripada harga handphone nya,negative
@namaapaaja,dengan ini kita bisa memanfaatkanya untuk jadiin pc warnet low budget tapi ganas,neutral
@khfa30,kemarin udh kering nonton cici sekarang kembali ke setelan pabrik dengan durasi panjang,neutral
@JJRandom0,elon musk pintar juga dia tau indonesia negara kepulauan serta banyak gunung dimana di gunung itu susah singal nya  bagus  job banget lah elon musk,positive
@N123R,kangen banget konten coki muslim kaya gini dulu gw tertatik banget buat dengerin noice episode baru musuh masyarakat jaman bareng coki tapi musuh masyarakat yang sekarang sama sekali ga menarik kalo ada episode baru kaya gw tunda tunda buat dengerin sampe akhirnya lupa soalnya musmas yang sekarang konsepnya semua setuju ga ada pihak yang menentang atau melenceng kalo yang sekarang semua pihak setuju satu tujuan jadi kaya ga ada perdebatan yang seru kecewa si tapi ya gimana lagi nonton video ini terhibur banget dah kangen banget konten cokimuslim kaya gini,negative
@Dhiblenk,editor naik gaji krn mengingatkan kita dengan pengen siaran vibesnya,neutral
@harisprasetyo4544,cuma david yang nge review komplit jelas dan jujur gak ada yang di tutupin mantap emang lah david,positive
@aseffahrudin9260,alhamdulillah dengan starlink masuk ke indo perusahaan ekspedisi tempat gw kerja menjadi ekpedisi perdana yang support pengiriman nya ke seluruh indonesia dhl spl,positive
@EDIKASMANBALIATE,waaa ini pasti banyak yang butuh untuk daerah tertinggal di ntt di desa tertinggal rekomendasi banget,positive
@Wewmaru,bro satu ini jarang colab tapi bro ini baik selalu promosiin chanel org lain,positive
@rehakiki8835,dan poin yang bikin gua suka banget sama abang david ini adalah walau dia tau produk kw tapi tetap mau beli dan review barang tersebutsalute sama si abangselain mengingatkan viewer tentang kasus penipuan produk ga guna ia juga yaa pokoknya begitulahbagian yang paling lucu yang bikin gua ngakak sama ini video itu di bagian si abang david ngebuang charger adaptornyayaa mungkin dia agak kesel sama si pembuat produk ini dan kasihan sama orang yang ketipu membeli barang tersebut tetap semangat bang,positive
@BILHANET,berkat video ini banyak kalangan yang jadi mengenal istilah rt rw net terimakasih bang david reviewnya,positive
@bintangsatrio2476,pc segede apapun gak bisa stable maen game mobile basis emulator di pc fyi emulator itu cpu side banget jadi paling tidak pake core klo mau main stable,negative
@mattalan5252,terimakasih kepada bapak chinese yang sudah mengobati rasa rindu kami terhadap mereka berdua,positive
@hasanmuhammad2106,hp lama di remake ulang roomnya di custom semau nya semoga gak ada yang ketipu lagi thank bang david sudah mengedukasi,positive
@IMSuHu,mending ini daripada jasa internet indonesia jaringan internet negara sendiri di sedot jadi lahan korupsi dan target pasar hanya perkotaan yang notaben koruptor bergilir salam buat apa internet cepat,negative
@Faridqurota,bagus wkwk wireless ya monitornya wkwk,positive
@muhammaddodi1757,kalau pemerintah memberikan fasilitas ini ke seluruh pelosok indonesia yang sulit terjangkau internet pasti penduduk indonesia gak ada yang buta internet,negative
@KYO6913,nominasi video rakit pc terbaik jatuh kepada video ini,positive
@downloadfilm5391,masih lebih awet huawei watch gt yang pertama aod nya nyala bisa mingguan dan masih kuat banget batrenya padahal udah saya pake tahun,positive
@IndraPurnama18,ini tuh baru peluncuran pertama mereka yang pakai router kaya gitu bayangin semua tower kabel fiber di indonesia di ganti sama starlink tower ga ada tuh kabel di langit dan ponsel kaya ga perlu sim card untuk internetan bisa lansgung terhubung sama starlink tower dimana aja karena skrng aja gw di ponsel udah ga pake sim tapi pake esim keren sih masa depan nanti,positive
@budiwiji,saya paling suka konten ini mereview ttg gadget yang bikin penasaran orangjadi kita bisa tau bagus tidaknya suatu barang,positive
@oniiichan199,ngakak di akhir buat temen klo iya mau beli hp usahakan kumpulkan informasi dri youtube atau channel termasuk bang david mantap dah aku selalu kesini klo iya ada tmen minta rekomend hp antara carikan atau kasih channel bang david,positive
@thalez8040,yg ane perhatiin di negara laen kalau ada brand ngasih harga barang kemahalan pasti langsung ada kompetitor ngisi buat ngasih harga lebih murah konsumen untung brand jadi kompetitif di konoha mah beda bang kalau tidak monopoli ya kartel harga kemahalan ya wasalam buat konsumen market konoha emang luar biasa,positive
@reinaldytees1958,sangat inovasi buat sekolah sekolah di sudut indonesia bener bener menuju indonesia maju semoga,positive
@cazis2453,paling suka bagian ngelempar chargernya bang david,positive
@daniel_simangunsong,ngakak banget pas bang david balikin hpnya dan baterai nya lepas,negative
@leniko9170,pinter ya ngejual di tiktok shop yang akhir ini sedang trend karena diskon nya dan stigma beli di tiktok shop dapet harga murah orang yang kurang paham dengan dunia gadget akan tertarik sama barang ini lalu merasa tertipu terima kasih bang david semoga youtuber lainya atau influencer tiktok mereview barang kw walau tau itu kw agar orang yang kurang mengerti bisa berpikir kembali sebelum membeli,negative
@ALDOGAME0912,keren banget sangat membantu sekali cocok banget buat karyawan pt seperti di kalimantan yanga agak susah jaringan mantap,positive
@sudocap,tutornya simpel dan mudah dimengerti jadi orang bisa paham secara garis besarnyatapi penempatan kabeltips pasang penjelasan dan rekomendasi hardwarenya musti ad part nya,positive
@jeanisaacpatriell2240,hdc masih ada harga dirinya ya best line ever hahahahaha,positive
@Lintang7,gila sih g aja belum merata di indonesia tapi ini starlink lebih dari gg langsung bisa dipake dimana aja wkwkwk ini bener sangat merubah itu,negative
@fanfanceria7630,dengar bang david bilang banyak yang minta review karena mereka merasa ketipu xiaomi redmi dengan harga jtan pakbu kakbang ada harga ada kualitas bagus beli di counter hp klo tidak mau ketipu jangan mudah tergiur dengan harga murah tapi spek tinggi aplg belinya online pasti itu penipuan mudah mudahan tidak ada lagi yang kena tipu dan merasa ketipu aamiin terima kasih bang udah meriview hp spek dewa katanya,positive
@rizky.febriawan,inii yang harusnya masyarakat harus tau tentang hp hdc supaya ngga kena tipu embel murah bla bla bla semangat terus bro david sukses buat semua,positive
@yusyaproject7775,keluar duit ribuan buat bikin video dapet adsense youtube jt,neutral
@danielpras1106,teruntuk gadgetin cara unboxing tuh kayak gini gak bertele,negative
@ans0l508,perasaan itu ketika pc rb ngalahin performa pc lu v,negative
@NawawiGaming,ya bang buatin pc tanpa casing yang setuju like,negative
@lol-en3oy,ini hp mengingatkan ku akan tab advan jadul persis banget dari sistem tempat sim card sumpah ini asli hp jadul yang dijual mahal berkedok diskon,negative
@ciputrachannel4630,sebagai konsumen ya kita yang harus sedikit cerdaslah gak mungkin ada hp jutaan ramgb romgb gak mungkin,negative
@sveriansyah,all hail lord edwin koneksi ke toko elektronik emang ga diragukan lagi bahkan ke musuh masyarakaaattt,neutral
@winsoldbarnes7676,walaupun kw tapi menguntungkan bang david dapat adesense dari review,positive
