author,text,label,text_clean,text_tokenized,text_cleaned_slang,text_cleaned_stopword,text_stemmed_mps,text_lemmatized_nlp-id
@namaapaaja,dengan ini kita bisa memanfaatkanya untuk jadiin pc warnet low budget tapi ganas,neutral,dengan ini kita bisa memanfaatkanya untuk jadiin pc warnet low budget tapi ganas,"['dengan', 'ini', 'kita', 'bisa', 'memanfaatkanya', 'untuk', 'jadiin', 'pc', 'warnet', 'low', 'budget', 'tapi', 'ganas']","['dengan', 'ini', 'kita', 'bisa', 'memanfaatkanya', 'untuk', 'jadikan', 'pc', 'warnet', 'low', 'budget', 'tapi', 'ganas']","['memanfaatkanya', 'jadikan', 'pc', 'warnet', 'low', 'budget', 'ganas']",manfaat jadi pc warnet low budget ganas,"['memanfaatkanya', 'jadi', 'pc', 'warnet', 'low', 'budget', 'ganas']"
@khfa30,kemarin udh kering nonton cici sekarang kembali ke setelan pabrik dengan durasi panjang,neutral,kemarin udh kering nonton cici sekarang kembali ke pengaturan pabrik dengan durasi panjang,"['kemarin', 'udh', 'kering', 'nonton', 'cici', 'sekarang', 'kembali', 'ke', 'pengaturan', 'pabrik', 'dengan', 'durasi', 'panjang']","['kemarin', 'sudah', 'kering', 'menonton', 'cici', 'sekarang', 'kembali', 'ke', 'pengaturan', 'pabrik', 'dengan', 'durasi', 'panjang']","['kemarin', 'kering', 'menonton', 'cici', 'pengaturan', 'pabrik', 'durasi']",kemarin kering tonton cici atur pabrik durasi,"['kemarin', 'kering', 'tonton', 'cici', 'atur', 'pabrik', 'durasi']"
@JJRandom0,elon musk pintar juga dia tau indonesia negara kepulauan serta banyak gunung dimana di gunung itu susah singal nya  bagus  job banget lah elon musk,positive,elon musk pintar juga dia tau indonesia negara kepulauan serta banyak gunung dimana di gunung itu susah tunggal nya bagus job banget lah elon musk,"['elon', 'musk', 'pintar', 'juga', 'dia', 'tau', 'indonesia', 'negara', 'kepulauan', 'serta', 'banyak', 'gunung', 'dimana', 'di', 'gunung', 'itu', 'susah', 'tunggal', 'nya', 'bagus', 'job', 'banget', 'lah', 'elon', 'musk']","['elon', 'musk', 'pintar', 'juga', 'dia', 'tau', 'indonesia', 'negara', 'kepulauan', 'serta', 'banyak', 'gunung', 'dimana', 'di', 'gunung', 'itu', 'susah', 'tunggal', 'nya', 'bagus', 'job', 'banget', 'lah', 'elon', 'musk']","['elon', 'musk', 'pintar', 'tau', 'indonesia', 'negara', 'kepulauan', 'gunung', 'dimana', 'gunung', 'susah', 'tunggal', 'bagus', 'job', 'banget', 'elon', 'musk']",elon remuk pintar tau indonesia negara pulau gunung mana gunung susah tunggal bagus job banget elon remuk,"['elon', 'musk', 'pintar', 'tau', 'indonesia', 'negara', 'pulau', 'gunung', 'mana', 'gunung', 'susah', 'tunggal', 'bagus', 'job', 'banget', 'elon', 'musk']"
@N123R,kangen banget konten coki muslim kaya gini dulu gw tertatik banget buat dengerin noice episode baru musuh masyarakat jaman bareng coki tapi musuh masyarakat yang sekarang sama sekali ga menarik kalo ada episode baru kaya gw tunda tunda buat dengerin sampe akhirnya lupa soalnya musmas yang sekarang konsepnya semua setuju ga ada pihak yang menentang atau melenceng kalo yang sekarang semua pihak setuju satu tujuan jadi kaya ga ada perdebatan yang seru kecewa si tapi ya gimana lagi nonton video ini terhibur banget dah kangen banget konten cokimuslim kaya gini,negative,kangen banget konten coki muslim kaya gini dulu gw tertatik banget buat dengerin noice episode baru musuh masyarakat jaman bareng coki tapi musuh masyarakat yang sekarang sama sekali ga menarik kalo ada episode baru kaya gw tunda tunda buat dengerin sampe akhirnya lupa soalnya musmas yang sekarang konsepnya semua setuju ga ada pihak yang menentang atau melenceng kalo yang sekarang semua pihak sepakat satu tujuan jadi kaya ga ada terjadi yang seru kecewa si tapi ya gimana lagi nonton video ini terhibur banget dah kangen banget konten cokimuslim kaya gini,"['kangen', 'banget', 'konten', 'coki', 'muslim', 'kaya', 'gini', 'dulu', 'gw', 'tertatik', 'banget', 'buat', 'dengerin', 'noice', 'episode', 'baru', 'musuh', 'masyarakat', 'jaman', 'bareng', 'coki', 'tapi', 'musuh', 'masyarakat', 'yang', 'sekarang', 'sama', 'sekali', 'ga', 'menarik', 'kalo', 'ada', 'episode', 'baru', 'kaya', 'gw', 'tunda', 'tunda', 'buat', 'dengerin', 'sampe', 'akhirnya', 'lupa', 'soalnya', 'musmas', 'yang', 'sekarang', 'konsepnya', 'semua', 'setuju', 'ga', 'ada', 'pihak', 'yang', 'menentang', 'atau', 'melenceng', 'kalo', 'yang', 'sekarang', 'semua', 'pihak', 'sepakat', 'satu', 'tujuan', 'jadi', 'kaya', 'ga', 'ada', 'terjadi', 'yang', 'seru', 'kecewa', 'si', 'tapi', 'ya', 'gimana', 'lagi', 'nonton', 'video', 'ini', 'terhibur', 'banget', 'dah', 'kangen', 'banget', 'konten', 'cokimuslim', 'kaya', 'gini']","['kangen', 'banget', 'konten', 'coki', 'muslim', 'kayak', 'begini', 'dulu', 'gue', 'tertatik', 'banget', 'buat', 'dengarkan', 'noice', 'episode', 'baru', 'musuh', 'masyarakat', 'jaman', 'bareng', 'coki', 'tapi', 'musuh', 'masyarakat', 'yang', 'sekarang', 'sama', 'sekali', 'enggak', 'menarik', 'kalo', 'ada', 'episode', 'baru', 'kayak', 'gue', 'tunda', 'tunda', 'buat', 'dengarkan', 'sampai', 'akhirnya', 'lupa', 'soalnya', 'musmas', 'yang', 'sekarang', 'konsepnya', 'semua', 'setuju', 'enggak', 'ada', 'pihak', 'yang', 'menentang', 'atau', 'melenceng', 'kalo', 'yang', 'sekarang', 'semua', 'pihak', 'sepakat', 'satu', 'tujuan', 'jadi', 'kayak', 'enggak', 'ada', 'terjadi', 'yang', 'seru', 'kecewa', 'sih', 'tapi', 'ya', 'bagaimana', 'lagi', 'menonton', 'video', 'ini', 'terhibur', 'banget', 'deh', 'kangen', 'banget', 'konten', 'cokimuslim', 'kayak', 'begini']","['kangen', 'banget', 'konten', 'coki', 'muslim', 'kayak', 'gue', 'tertatik', 'banget', 'dengarkan', 'noice', 'episode', 'musuh', 'masyarakat', 'jaman', 'bareng', 'coki', 'musuh', 'masyarakat', 'menarik', 'kalo', 'episode', 'kayak', 'gue', 'tunda', 'tunda', 'dengarkan', 'lupa', 'musmas', 'konsepnya', 'setuju', 'menentang', 'melenceng', 'kalo', 'sepakat', 'tujuan', 'kayak', 'seru', 'kecewa', 'sih', 'menonton', 'video', 'terhibur', 'banget', 'deh', 'kangen', 'banget', 'konten', 'cokimuslim', 'kayak']",kangen banget kontan cok muslim kayak gue tertatik banget dengar metode episode musuh masyarakat jaman bareng cok musuh masyarakat tarik kalau episode kayak gue tunda tunda dengar lupa melasma konsep tuju tentang lenceng kalau sepakat tuju kayak seru kecewa sih tonton video hibur banget deh kangen banget kontan cokimuslim kayak,"['kangen', 'banget', 'konten', 'cok', 'muslim', 'kayak', 'gue', 'tertatik', 'banget', 'dengar', 'noice', 'episode', 'musuh', 'masyarakat', 'jaman', 'bareng', 'cok', 'musuh', 'masyarakat', 'tarik', 'kalo', 'episode', 'kayak', 'gue', 'tunda', 'tunda', 'dengar', 'lupa', 'musmas', 'konsep', 'tuju', 'tentang', 'lenceng', 'kalo', 'sepakat', 'tuju', 'kayak', 'seru', 'kecewa', 'sih', 'tonton', 'video', 'hibur', 'banget', 'deh', 'kangen', 'banget', 'konten', 'cokimuslim', 'kayak']"
@Dhiblenk,editor naik gaji krn mengingatkan kita dengan pengen siaran vibesnya,neutral,editor naik gaji krn mengingatkan kita dengan pengen siaran getarannya,"['editor', 'naik', 'gaji', 'krn', 'mengingatkan', 'kita', 'dengan', 'pengen', 'siaran', 'getarannya']","['editor', 'naik', 'gaji', 'karena', 'mengingatkan', 'kita', 'dengan', 'pengin', 'siaran', 'getarannya']","['editor', 'gaji', 'pengin', 'siaran', 'getarannya']",editor gaji pengin siar getar,"['editor', 'gaji', 'pengin', 'siar', 'getar']"
@harisprasetyo4544,cuma david yang nge review komplit jelas dan jujur gak ada yang di tutupin mantap emang lah david,positive,cuma david yang nge review komplit jelas dan jujur gak ada yang di tutupin mantap emang lah david,"['cuma', 'david', 'yang', 'nge', 'review', 'komplit', 'jelas', 'dan', 'jujur', 'gak', 'ada', 'yang', 'di', 'tutupin', 'mantap', 'emang', 'lah', 'david']","['cuma', 'david', 'yang', 'nge', 'review', 'komplit', 'jelas', 'dan', 'jujur', 'enggak', 'ada', 'yang', 'di', 'menutupi', 'mantap', 'memang', 'lah', 'david']","['david', 'nge', 'review', 'komplit', 'jujur', 'menutupi', 'mantap', 'david']",david nge review komplit jujur tutup mantap david,"['david', 'nge', 'review', 'komplit', 'jujur', 'tutup', 'mantap', 'david']"
@aseffahrudin9260,alhamdulillah dengan starlink masuk ke indo perusahaan ekspedisi tempat gw kerja menjadi ekpedisi perdana yang support pengiriman nya ke seluruh indonesia dhl spl,positive,alhamdulillah dengan starlink masuk ke indo perusahaan ekspedisi tempat gw kerja menjadi ekpedisi utama yang support pengiriman nya ke seluruh indonesia dhl spl,"['alhamdulillah', 'dengan', 'starlink', 'masuk', 'ke', 'indo', 'perusahaan', 'ekspedisi', 'tempat', 'gw', 'kerja', 'menjadi', 'ekpedisi', 'utama', 'yang', 'support', 'pengiriman', 'nya', 'ke', 'seluruh', 'indonesia', 'dhl', 'spl']","['alhamdulillah', 'dengan', 'starlink', 'masuk', 'ke', 'indonesia', 'perusahaan', 'ekspedisi', 'tempat', 'gue', 'kerja', 'menjadi', 'ekpedisi', 'utama', 'yang', 'support', 'pengiriman', 'nya', 'ke', 'seluruh', 'indonesia', 'dhl', 'spl']","['alhamdulillah', 'starlink', 'indonesia', 'perusahaan', 'ekspedisi', 'gue', 'ekpedisi', 'utama', 'support', 'pengiriman', 'indonesia', 'dhl', 'spl']",alhamdulillah starlink indonesia usaha ekspedisi gue ekspedisi utama support kirim indonesia dhl spl,"['alhamdulillah', 'starlink', 'indonesia', 'usaha', 'ekspedisi', 'gue', 'ekpedisi', 'utama', 'support', 'kirim', 'indonesia', 'dhl', 'spl']"
@EDIKASMANBALIATE,waaa ini pasti banyak yang butuh untuk daerah tertinggal di ntt di desa tertinggal rekomendasi banget,positive,waaa ini pasti banyak yang butuh buat daerah tertinggal di ntt di desa tertinggal rekomendasi banget,"['waaa', 'ini', 'pasti', 'banyak', 'yang', 'butuh', 'buat', 'daerah', 'tertinggal', 'di', 'ntt', 'di', 'desa', 'tertinggal', 'rekomendasi', 'banget']","['wah', 'ini', 'pasti', 'banyak', 'yang', 'butuh', 'buat', 'daerah', 'tertinggal', 'di', 'ntt', 'di', 'desa', 'tertinggal', 'rekomendasi', 'banget']","['butuh', 'daerah', 'tertinggal', 'ntt', 'desa', 'tertinggal', 'rekomendasi', 'banget']",butuh daerah tinggal ntt desa tinggal rekomendasi banget,"['butuh', 'daerah', 'tinggal', 'ntt', 'desa', 'tinggal', 'rekomendasi', 'banget']"
@Wewmaru,bro satu ini jarang colab tapi bro ini baik selalu promosiin chanel org lain,positive,bro satu ini jarang colab tapi bro ini baik selalu promosiin chanel org lain,"['bro', 'satu', 'ini', 'jarang', 'colab', 'tapi', 'bro', 'ini', 'baik', 'selalu', 'promosiin', 'chanel', 'org', 'lain']","['bro', 'satu', 'ini', 'jarang', 'colab', 'tapi', 'bro', 'ini', 'baik', 'selalu', 'promosiin', 'chanel', 'orang', 'lain']","['bro', 'jarang', 'colab', 'bro', 'promosiin', 'chanel']",bro jarang colab bro promosi chanel,"['bro', 'jarang', 'colab', 'bro', 'promosiin', 'chanel']"
@rehakiki8835,dan poin yang bikin gua suka banget sama abang david ini adalah walau dia tau produk kw tapi tetap mau beli dan review barang tersebutsalute sama si abangselain mengingatkan viewer tentang kasus penipuan produk ga guna ia juga yaa pokoknya begitulahbagian yang paling lucu yang bikin gua ngakak sama ini video itu di bagian si abang david ngebuang charger adaptornyayaa mungkin dia agak kesel sama si pembuat produk ini dan kasihan sama orang yang ketipu membeli barang tersebut tetap semangat bang,positive,dan poin yang bikin gua suka banget sama abang david ini adalah walaupun dia tau produk kw tapi tetap mau beli dan review barang tersebutsalute sama si abangselain mengingatkan viewer tentang kasus penipuan produk ga guna ia juga yaa pokoknya begitulahbagian yang paling lucu yang bikin gua ngakak sama ini video itu di bagian si abang david ngebuang charger adaptornyayaa mungkin dia agak kesel sama si pembuat produk ini dan kasih sayang sama orang yang ketipu membeli barang tersebut tetap semangat bang,"['dan', 'poin', 'yang', 'bikin', 'gua', 'suka', 'banget', 'sama', 'abang', 'david', 'ini', 'adalah', 'walaupun', 'dia', 'tau', 'produk', 'kw', 'tapi', 'tetap', 'mau', 'beli', 'dan', 'review', 'barang', 'tersebutsalute', 'sama', 'si', 'abangselain', 'mengingatkan', 'viewer', 'tentang', 'kasus', 'penipuan', 'produk', 'ga', 'guna', 'ia', 'juga', 'yaa', 'pokoknya', 'begitulahbagian', 'yang', 'paling', 'lucu', 'yang', 'bikin', 'gua', 'ngakak', 'sama', 'ini', 'video', 'itu', 'di', 'bagian', 'si', 'abang', 'david', 'ngebuang', 'charger', 'adaptornyayaa', 'mungkin', 'dia', 'agak', 'kesel', 'sama', 'si', 'pembuat', 'produk', 'ini', 'dan', 'kasih', 'sayang', 'sama', 'orang', 'yang', 'ketipu', 'membeli', 'barang', 'tersebut', 'tetap', 'semangat', 'bang']","['dan', 'poin', 'yang', 'bikin', 'gua', 'suka', 'banget', 'sama', 'abang', 'david', 'ini', 'adalah', 'walaupun', 'dia', 'tau', 'produk', 'kau', 'tapi', 'tetap', 'mau', 'beli', 'dan', 'review', 'barang', 'tersebutsalute', 'sama', 'sih', 'abangselain', 'mengingatkan', 'viewer', 'tentang', 'kasus', 'penipuan', 'produk', 'enggak', 'guna', 'ia', 'juga', 'ya', 'pokoknya', 'begitulahbagian', 'yang', 'paling', 'lucu', 'yang', 'bikin', 'gua', 'mengakak', 'sama', 'ini', 'video', 'itu', 'di', 'bagian', 'sih', 'abang', 'david', 'ngebuang', 'charger', 'adaptornyayaa', 'mungkin', 'dia', 'agak', 'kesel', 'sama', 'sih', 'pembuat', 'produk', 'ini', 'dan', 'kasih', 'sayang', 'sama', 'orang', 'yang', 'tertipu', 'membeli', 'barang', 'tersebut', 'tetap', 'semangat', 'bang']","['poin', 'bikin', 'gua', 'suka', 'banget', 'abang', 'david', 'tau', 'produk', 'kau', 'beli', 'review', 'barang', 'tersebutsalute', 'sih', 'abangselain', 'viewer', 'penipuan', 'produk', 'pokoknya', 'begitulahbagian', 'lucu', 'bikin', 'gua', 'mengakak', 'video', 'sih', 'abang', 'david', 'ngebuang', 'charger', 'adaptornyayaa', 'kesel', 'sih', 'pembuat', 'produk', 'kasih', 'sayang', 'tertipu', 'membeli', 'barang', 'semangat', 'bang']",poin bikin gue suka banget abang david tau produk kau beli review barang tersebutsalute sih rangsel viewer tipu produk pokok gulambai lucu bikin gue akak video sih abang david buang charger adaptornyayaa kesel sih buat produk kasih sayang tipu beli barang semangat bang,"['poin', 'bikin', 'gua', 'suka', 'banget', 'abang', 'david', 'tau', 'produk', 'kau', 'beli', 'review', 'barang', 'tersebutsalute', 'sih', 'abangselain', 'viewer', 'tipu', 'produk', 'pokok', 'begitulahbagian', 'lucu', 'bikin', 'gua', 'kakak', 'video', 'sih', 'abang', 'david', 'ngebuang', 'charger', 'adaptornyayaa', 'kesel', 'sih', 'buat', 'produk', 'kasih', 'sayang', 'tipu', 'beli', 'barang', 'semangat', 'bang']"
@BILHANET,berkat video ini banyak kalangan yang jadi mengenal istilah rt rw net terimakasih bang david reviewnya,positive,berkat video ini banyak kalangan yang jadi mengenal istilah rt rw net terimakasih bang david reviewnya,"['berkat', 'video', 'ini', 'banyak', 'kalangan', 'yang', 'jadi', 'mengenal', 'istilah', 'rt', 'rw', 'net', 'terimakasih', 'bang', 'david', 'reviewnya']","['berkat', 'video', 'ini', 'banyak', 'kalangan', 'yang', 'jadi', 'mengenal', 'istilah', 'rt', 'rw', 'net', 'terimakasih', 'bang', 'david', 'reviewnya']","['berkat', 'video', 'kalangan', 'mengenal', 'istilah', 'rt', 'rw', 'net', 'terimakasih', 'bang', 'david', 'reviewnya']",berkat video kalang kenal istilah rt rw net terimakasih bang david review,"['berkat', 'video', 'kalang', 'kenal', 'istilah', 'rt', 'rw', 'net', 'terimakasih', 'bang', 'david', 'reviewnya']"
@bintangsatrio2476,pc segede apapun gak bisa stable maen game mobile basis emulator di pc fyi emulator itu cpu side banget jadi paling tidak pake core klo mau main stable,negative,pc segede apapun gak bisa stable maen game mobile basis emulator di pc fyi emulator itu cpu side banget jadi paling tidak pake core klo mau main stable,"['pc', 'segede', 'apapun', 'gak', 'bisa', 'stable', 'maen', 'game', 'mobile', 'basis', 'emulator', 'di', 'pc', 'fyi', 'emulator', 'itu', 'cpu', 'side', 'banget', 'jadi', 'paling', 'tidak', 'pake', 'core', 'klo', 'mau', 'main', 'stable']","['pc', 'segede', 'apapun', 'enggak', 'bisa', 'stable', 'main', 'game', 'mobile', 'basis', 'emulator', 'di', 'pc', 'fyi', 'emulator', 'itu', 'cpu', 'side', 'banget', 'jadi', 'paling', 'tidak', 'pakai', 'core', 'kalo', 'mau', 'main', 'stable']","['pc', 'segede', 'apapun', 'stable', 'main', 'game', 'mobile', 'basis', 'emulator', 'pc', 'fyi', 'emulator', 'cpu', 'side', 'banget', 'pakai', 'core', 'kalo', 'main', 'stable']",pc gede apa stable main game memble basis emulator pc fyi emulator cpu side banget pakai core kalau main stable,"['pc', 'gede', 'apa', 'stable', 'main', 'game', 'mobile', 'basis', 'emulator', 'pc', 'fyi', 'emulator', 'cpu', 'side', 'banget', 'pakai', 'core', 'kalo', 'main', 'stable']"
@mattalan5252,terimakasih kepada bapak chinese yang sudah mengobati rasa rindu kami terhadap mereka berdua,positive,terimakasih kepada bapak cina yang sudah mengobati rasa rindu kami terhadap mereka berdua,"['terimakasih', 'kepada', 'bapak', 'cina', 'yang', 'sudah', 'mengobati', 'rasa', 'rindu', 'kami', 'terhadap', 'mereka', 'berdua']","['terimakasih', 'kepada', 'bapak', 'cina', 'yang', 'sudah', 'mengobati', 'rasa', 'rindu', 'kami', 'terhadap', 'mereka', 'berdua']","['terimakasih', 'cina', 'mengobati', 'rindu', 'berdua']",terimakasih cina obat rindu dua,"['terimakasih', 'cina', 'obat', 'rindu', 'dua']"
@hasanmuhammad2106,hp lama di remake ulang roomnya di custom semau nya semoga gak ada yang ketipu lagi thank bang david sudah mengedukasi,positive,hp lama di remake ulang roomnya di custom semau nya semoga gak ada yang ketipu lagi terima kasih bang david sudah mengedukasi,"['hp', 'lama', 'di', 'remake', 'ulang', 'roomnya', 'di', 'custom', 'semau', 'nya', 'semoga', 'gak', 'ada', 'yang', 'ketipu', 'lagi', 'terima', 'kasih', 'bang', 'david', 'sudah', 'mengedukasi']","['hp', 'lama', 'di', 'remake', 'ulang', 'roomnya', 'di', 'custom', 'semau', 'nya', 'semoga', 'enggak', 'ada', 'yang', 'tertipu', 'lagi', 'terima', 'kasih', 'bang', 'david', 'sudah', 'mengedukasi']","['hp', 'remake', 'ulang', 'roomnya', 'custom', 'semau', 'semoga', 'tertipu', 'terima', 'kasih', 'bang', 'david', 'mengedukasi']",hp remake ulang roomnya custom mau moga tipu terima kasih bang david edukasi,"['hp', 'remake', 'ulang', 'roomnya', 'custom', 'mau', 'moga', 'tipu', 'terima', 'kasih', 'bang', 'david', 'edukasi']"
@IMSuHu,mending ini daripada jasa internet indonesia jaringan internet negara sendiri di sedot jadi lahan korupsi dan target pasar hanya perkotaan yang notaben koruptor bergilir salam buat apa internet cepat,negative,mending ini daripada jasa internet indonesia jaringan internet negara sendiri di sedot jadi lahan korupsi dan target pasar hanya perkotaan yang notaben koruptor bergilir salam buat apa internet cepat,"['mending', 'ini', 'daripada', 'jasa', 'internet', 'indonesia', 'jaringan', 'internet', 'negara', 'sendiri', 'di', 'sedot', 'jadi', 'lahan', 'korupsi', 'dan', 'target', 'pasar', 'hanya', 'perkotaan', 'yang', 'notaben', 'koruptor', 'bergilir', 'salam', 'buat', 'apa', 'internet', 'cepat']","['mending', 'ini', 'daripada', 'jasa', 'internet', 'indonesia', 'jaringan', 'internet', 'negara', 'sendiri', 'di', 'sedot', 'jadi', 'lahan', 'korupsi', 'dan', 'target', 'pasar', 'hanya', 'perkotaan', 'yang', 'notaben', 'koruptor', 'bergilir', 'salam', 'buat', 'apa', 'internet', 'cepat']","['mending', 'jasa', 'internet', 'indonesia', 'jaringan', 'internet', 'negara', 'sedot', 'lahan', 'korupsi', 'target', 'pasar', 'perkotaan', 'notaben', 'koruptor', 'bergilir', 'internet', 'cepat']",mending jasa internat indonesia jaring internat negara sedot lahan korupsi target pasar kota notabene koruptor gilir internat cepat,"['mending', 'jasa', 'internet', 'indonesia', 'jaring', 'internet', 'negara', 'sedot', 'lahan', 'korupsi', 'target', 'pasar', 'kota', 'notaben', 'koruptor', 'gilir', 'internet', 'cepat']"
@Faridqurota,bagus wkwk wireless ya monitornya wkwk,positive,bagus wkwk nirkabel ya monitornya wkwk,"['bagus', 'wkwk', 'nirkabel', 'ya', 'monitornya', 'wkwk']","['bagus', 'wkwk', 'nirkabel', 'ya', 'monitornya', 'wkwk']","['bagus', 'wkwk', 'nirkabel', 'monitornya', 'wkwk']",bagus wkwk nirkabel monitor wkwk,"['bagus', 'wkwk', 'nirkabel', 'monitor', 'wkwk']"
@muhammaddodi1757,kalau pemerintah memberikan fasilitas ini ke seluruh pelosok indonesia yang sulit terjangkau internet pasti penduduk indonesia gak ada yang buta internet,negative,kalau pemerintah memberikan fasilitas ini ke seluruh pelosok indonesia yang sulit terjangkau internet pasti penduduk indonesia gak ada yang buta internet,"['kalau', 'pemerintah', 'memberikan', 'fasilitas', 'ini', 'ke', 'seluruh', 'pelosok', 'indonesia', 'yang', 'sulit', 'terjangkau', 'internet', 'pasti', 'penduduk', 'indonesia', 'gak', 'ada', 'yang', 'buta', 'internet']","['kalau', 'pemerintah', 'memberikan', 'fasilitas', 'ini', 'ke', 'seluruh', 'pelosok', 'indonesia', 'yang', 'sulit', 'terjangkau', 'internet', 'pasti', 'penduduk', 'indonesia', 'enggak', 'ada', 'yang', 'buta', 'internet']","['pemerintah', 'fasilitas', 'pelosok', 'indonesia', 'sulit', 'terjangkau', 'internet', 'penduduk', 'indonesia', 'buta', 'internet']",perin fasilitas pelosok indonesia sulit jangkau internat duduk indonesia buta internat,"['perintah', 'fasilitas', 'pelosok', 'indonesia', 'sulit', 'jangkau', 'internet', 'duduk', 'indonesia', 'buta', 'internet']"
@KYO6913,nominasi video rakit pc terbaik jatuh kepada video ini,positive,nominasi video rakit pc terbaik jatuh ke video ini,"['nominasi', 'video', 'rakit', 'pc', 'terbaik', 'jatuh', 'ke', 'video', 'ini']","['nominasi', 'video', 'rakit', 'pc', 'terbaik', 'jatuh', 'ke', 'video', 'ini']","['nominasi', 'video', 'rakit', 'pc', 'terbaik', 'jatuh', 'video']",nominasi video rakit pc baik jatuh video,"['nominasi', 'video', 'rakit', 'pc', 'baik', 'jatuh', 'video']"
@downloadfilm5391,masih lebih awet huawei watch gt yang pertama aod nya nyala bisa mingguan dan masih kuat banget batrenya padahal udah saya pake tahun,positive,masih lebih awet huawei watch gt yang pertama aod nya nyala bisa mingguan dan masih kuat banget batrenya padahal udah saya pake tahun,"['masih', 'lebih', 'awet', 'huawei', 'watch', 'gt', 'yang', 'pertama', 'aod', 'nya', 'nyala', 'bisa', 'mingguan', 'dan', 'masih', 'kuat', 'banget', 'batrenya', 'padahal', 'udah', 'saya', 'pake', 'tahun']","['masih', 'lebih', 'awet', 'huawei', 'watch', 'begitu', 'yang', 'pertama', 'aod', 'nya', 'nyala', 'bisa', 'mingguan', 'dan', 'masih', 'kuat', 'banget', 'batrenya', 'padahal', 'sudah', 'saya', 'pakai', 'tahun']","['awet', 'huawei', 'watch', 'aod', 'nyala', 'mingguan', 'kuat', 'banget', 'batrenya', 'pakai']",awet duane watch aod nyala minggu kuat banget batrenya pakai,"['awet', 'huawei', 'watch', 'aod', 'nyala', 'minggu', 'kuat', 'banget', 'batrenya', 'pakai']"
@IndraPurnama18,ini tuh baru peluncuran pertama mereka yang pakai router kaya gitu bayangin semua tower kabel fiber di indonesia di ganti sama starlink tower ga ada tuh kabel di langit dan ponsel kaya ga perlu sim card untuk internetan bisa lansgung terhubung sama starlink tower dimana aja karena skrng aja gw di ponsel udah ga pake sim tapi pake esim keren sih masa depan nanti,positive,ini tuh baru peluncuran pertama mereka yang pakai router kaya gitu bayangin semua tower kabel fiber di indonesia di ganti sama starlink tower ga ada tuh kabel di langit dan ponsel kaya ga perlu sim card untuk internetan bisa lansgung terhubung sama starlink tower dimana aja karena skrng aja gw di ponsel udah ga pake sim tapi pake esim keren sih masa depan nanti,"['ini', 'tuh', 'baru', 'peluncuran', 'pertama', 'mereka', 'yang', 'pakai', 'router', 'kaya', 'gitu', 'bayangin', 'semua', 'tower', 'kabel', 'fiber', 'di', 'indonesia', 'di', 'ganti', 'sama', 'starlink', 'tower', 'ga', 'ada', 'tuh', 'kabel', 'di', 'langit', 'dan', 'ponsel', 'kaya', 'ga', 'perlu', 'sim', 'card', 'untuk', 'internetan', 'bisa', 'lansgung', 'terhubung', 'sama', 'starlink', 'tower', 'dimana', 'aja', 'karena', 'skrng', 'aja', 'gw', 'di', 'ponsel', 'udah', 'ga', 'pake', 'sim', 'tapi', 'pake', 'esim', 'keren', 'sih', 'masa', 'depan', 'nanti']","['ini', 'tuh', 'baru', 'peluncuran', 'pertama', 'mereka', 'yang', 'pakai', 'router', 'kayak', 'begitu', 'bayangkan', 'semua', 'tower', 'kabel', 'fiber', 'di', 'indonesia', 'di', 'ganti', 'sama', 'starlink', 'tower', 'enggak', 'ada', 'tuh', 'kabel', 'di', 'langit', 'dan', 'ponsel', 'kayak', 'enggak', 'perlu', 'sim', 'card', 'untuk', 'internetan', 'bisa', 'lansgung', 'terhubung', 'sama', 'starlink', 'tower', 'dimana', 'saja', 'karena', 'sekarang', 'saja', 'gue', 'di', 'ponsel', 'sudah', 'enggak', 'pakai', 'sim', 'tapi', 'pakai', 'esim', 'keren', 'sih', 'masa', 'depan', 'nanti']","['tuh', 'peluncuran', 'pakai', 'router', 'kayak', 'bayangkan', 'tower', 'kabel', 'fiber', 'indonesia', 'ganti', 'starlink', 'tower', 'tuh', 'kabel', 'langit', 'ponsel', 'kayak', 'sim', 'card', 'internetan', 'lansgung', 'terhubung', 'starlink', 'tower', 'dimana', 'gue', 'ponsel', 'pakai', 'sim', 'pakai', 'esim', 'keren', 'sih']",itu seluncur pakai router kayak bayang tower kabel fiber indonesia ganti starlink tower itu kabel langit ponsel kayak sim card internat lansgung hubung starlink tower mana gue ponsel pakai sim pakai esim keren sih,"['tuh', 'luncur', 'pakai', 'router', 'kayak', 'bayang', 'tower', 'kabel', 'fiber', 'indonesia', 'ganti', 'starlink', 'tower', 'tuh', 'kabel', 'langit', 'ponsel', 'kayak', 'sim', 'card', 'internetan', 'lansgung', 'hubung', 'starlink', 'tower', 'mana', 'gue', 'ponsel', 'pakai', 'sim', 'pakai', 'esim', 'keren', 'sih']"
