author,like_count,text,Sentiment
@tokki2901,52,apabila ada yang penasaran sama lagu backgroundnya annecy anshor arawinda kirana sajak tafsir alien child imajinasi senja,netral
@likyardianto3614,49,berani amat ngeremake film art house prancis dan nominee palm dor gak yakin level sineas indonesia sampe kesitu but lets see,negatif
@gunawan7063,47,wanjir dari trailer aja cakep begini wajib nonton sih ini gila kerenn banget,positif
@syafrilrahimansyah2045,46,gw ekspektasinya dyswis itu kumpulan cerita horor terbaik dari podcast yang dijadikan scene pendek dalam satu film gitu bukan hanya satu kisah aja kayak bia thailand gitu,negatif
@dianagendut4722,44,akting para pemain sangat kerenyg begini yang aq sukatdak ad wajah blasteran sama sekali semua pemain berwajah eksotikmenggambarkan indonesia bnget,positif
@kukuhsantoso5190,42,akting lidya kandouw emang superb,positif
@ksh1727,41,yang ditunggu akhirnya debut,positif
@hanestyaraa,41,cant wait ini nyeritain tentang harga diri cwe lebih berharga dri uang masa depan lbh diingkan drpd menikah muda,positif
@febiarohmahanjani4434,37,jarang nih ngangkat budaya banten penasaran,positif
@duniaponsel4069,34,al fatihah untuk mbak vina sedih banget kisahnya tidak sanggup bayangin semoga husnul khotimah dan diterima di sisi allah swt sehingga kuburnya di lapangkan,positif
@opicksutradara89,33,wajib nonton ini mah ada gisellma firmansyah temen ane alumni sma negeri tangerang,positif
@narasibolangjawa1809,31,waittting for this starvision film nya keren gw kira td film nya tentang yuni shara ternyata nama nya yuni aja,positif
@anneyasmine4251,29,so excited for yuni,positif
@faisal5981,26,film starvision selalu gw tunggu tunggu,positif
@byunbaekhyun2271,26,saran pas adegan ngaji baca surat yasin ngajinya yang benar jangan ditampilin adegan ngaji yang bacaannya ga nyampe bacaannya kok ada huruf yang gatau sengaja atau gak sengaja dikurangin ingat jangan macam dengan bacaan alquran karena alquran tidak ada satupun keraguan di dalamnya,negatif
@Musseolaholah,25,sebagai warga kota serangsaya sangat bangga dengan film ini film sing nggo bahasa jaseng sing olih wakeh penghargaan,positif
@almasshafira499,24,minimal casting pemain yang bener,negatif
@thekomplokers,24,saya tidak bisa ngebayangin gimana sakit nya korban waktu kejadian astaghfirullah semoga diampuni dosa nya korban,positif
@raihannafis9863,24,bisa jadi film pembuka sebelum nonton no way home nih dan setelah mo way home ada teka teki tika dan backstage sebagai penutup akhir tahun yang sangat manis berkelas bener tidak sabar nunggu desember,positif
@ik2b_13_kelvinardianal-gha5,23,kemarin baru aja nonton sama temen dan benerbener speechless karena seberani itu mengangkat isuisu sosial tentang perempuan sampe kesetaraan gender alur yang pas dan pendalaman karakter yang matang juga patut diapresiasi yuni salah satu film terbaik di,positif
@iamblueyork,21,kaya filmnya joko anwar yang dulu mcm kala pintu terlarang,netral
@BenangBiru13,21,ketampar banget sih sama film ini banyak scene yang mengandung makna tersirat konflik batin dan lingkungan serta halhal yang dianggap pamali dituturkan dengan gamblang dan menerjangmelawan arus untuk tidak terjerumus tergerus tercuri bgt sama akting nova eliza wajib tonton,positif
@shlsyhh,20,gak tau mau nangis saking keren banget filmnya dan tema yang diambil,positif
@arimbiepark2851,20,ini dah pasti bagusskarena saya orang cirebon asli semoga kalian yang nonton mendapat pelajaran dr film ini,positif
@Dahdir,18,semoga semua pelakunya cepat ketangkap termasuk yang katanya anak oknum itu,positif
@syiifaaar1571,17,bantu up terus aja kasusnyabiar pelakunya ketangkep semua semoga mba vina tenang di alam barzakhdikaruniai nikmat kuburditerima amal ibadah nya diampuni segala dosanya,positif
@gaskenmamang6478,16,film hantu indo itu sebernya serem dan seru kalau saja gada tayangan membunuh nya,negatif
@aisyahh2003,16,berasa vibes film noir,netral
@abayhere,16,wajib nonton si,positif
@aaravfahlevi,15,gilaa teasernya secakep ini woyy cant wait for u guyss,positif
@arina.d.a,15,hereditary versi indonesia ga sih tapi keren horor indonesia ga melulu bawa agamaskali olah lebih dalam genre thriller oke loh,positif
@gunturaghni3288,14,indonesia new cinema wave is real,positif
@apriellistya9532,14,cerita di dyswis mawar kan msh ada orangtuanya kok disini mawar ziarah ke makam ortunya,netral
@adarmika,13,yang nyari soundtracknya alien child imajinasi senja,netral
@gemersrantau,13,wa ada neneng stand up,netral
@MerzaFahlevi-rv2pq,12,bagian seru yang teriak kesakitan tanganpatah kayak nya seru,positif
@cavanaciel,12,ini durasinya berapa menit dah gabisa cuma secup cola doang ini keknya wkwkwkw,positif
@vieansalmadian5127,11,sempat bener ngikutin kasus ini dulu jujur tidak ekspek bgt sekarang kisahnya di buat film layar lebar terlebih ada scene kerasukannya yang mana di kisah nyatanya memang benar ada tangisan kemarahan bercampur kesedihan dan itu sangat memilukan hati dan cukup terngiang dikepala al fatihah rip,negatif
@SubMusicID,11,wah keren banget nih kayaknya kitane jadi bangga jadi rasane ana bahasa serange,positif
@1rvan1rvan,11,pecyaaah banget wajib mesti nonton,positif
@Risfandie,10,yg gw bosen pemainnya itu mulu aplgi si bapak dimana ada dlm film thrillerhorror,negatif
@f.s.firdaus8106,10,falcon pictures gak pernah mengecewakan,positif
@sebelas1323,10,hai elin apa kabar masih ingat gak dulu kamu sering banget cerita tentang kisah vina kamu selalu bilang nanti kalo filmnya tayang kita harus nonton ya tapi itu dulu sekarang filmnya mau tayang eh hubungan kita udah selesai baik baik kamu disana ya elin selamat menyaksikan vina sebelum hari meskipun bukan bersamaku,netral
@romariokoropasi1710,10,nah gini dong keluar dari unsur agama sekali,positif
@hanadiaalkhansa5761,10,tbh aku sendiri belum ngeh konfliknya apa di komen byk yang bilang ini sensitif tapi aku masih belum ngerti ngerasa stupid bgt but anyway this is a masterpiece dari trailernya benerbener nyentuh hati even aku gak ngerti sekalipun hehe sukses terus pokoknya yuni,positif
@rhmlrmdn_rahmaliaa,10,arghhh cant waittt sii ini mah wajip kdu nongtonn bcs imo jarang ngangkat issuekonflik real life gini trus ada unsur patriarki ny jg,positif
@sintadewi79,10,daridulu selalu penasaran sama gunung salak akhirnya ada film horror yang pake latar tempatnya gunung salak kerenn,positif
@lenterapetang,9,itu terus artisnya bosen,negatif
@MiftahulIman,9,trailernya keren banget dengan bahasa jawa serang dan sunda yang biasa saya dengerin kalo lagi ke serang kata sire kalo ngga salah kata kasar dalam bahasa jawa serang sukses untuk filmnya dan wajib ditonton bulan depan,positif
@close2mrtj,9,wow settingannya tahun an kayanya tuh oke masuk list,positif
@rizkyabdul917,9,tentang pesugihan sepertinya trailernya ada adegan kek hereditary semoga bisa mendekati hereditary dah kualitas filmnya,positif
@salmakhoirunida3934,9,aaa indah sekaliii cant wait,positif
@tubagusrafirayhan480,9,kule sebagai warga banten milet bangga sereng niki film babasan jaseng mendunia,positif
@diyazfebry5562,9,denger cerita kalo ada teman mbak vey yang punya pacar ndak biasa aka hantu udah semerinding itu apalagi kita bisa bisa melihat secara visual via film duuh seexcited itu,positif
@aestheticgardenland,9,bawa ke tiktok biar viral film ini harus rame banyak nilai bagus yang terkandung di dalamnya,positif
@faishalmahardhika9141,9,filmnya umayskipp,negatif
@SabiruAbimanyu,8,nah gini yang gua tunggu horor baru yang gak melulu klenik lokal angin segar nih buat dunia perfilman horor di indo masuk wishlist tontonan bulan mei nih,positif
@arifnugroho25,8,yang bagus cuma warna ungu nya doang,negatif
@agungkrisdyantono9229,8,udah nonton tadi nunggu kelanjutannya soalnya masih penuh teka teki belos selesai,negatif
@prilycalista7791,8,my hometown goes international,positif
@adityaofficialyt9805,8,pemainnya yasamin jasem sering banget yasamin jasem bermain di film horror penasaran coba liat trailernya dulu,netral
@donisukmawandani5136,8,yg namanya yuni wajib nonton,positif
@irmanmar2155,8,harus diakuin film horor indonesia sekarang mantep lagi bangkit nih keren,positif
@davefirman1194,8,hereditary dengan kearifan lokal,positif
@yogisurya5546,8,kerenn otw nonton,positif
@aqilalulu,8,saya tadi menonton filmnya bersama temanteman di salah satu bioskop di semarang filmnya keren saya harap filmfilm lain yang mengangkat isuisu sensitif seperti yuni akan lebih banyak bermunculan sukses terus yuni,positif
@SupriHatin-nl2qn,8,artis film layar lebar sdh mulai beralih profesi yaitu dari pemain film skrng menjadi produser diantaranya reza rahardian dan prilly latuconsina,netral
@mfarhanalamsyah40,8,kaget bjir mana volume gede,netral
@TheDebong,8,kan doanya ketemu orang yang sayang sama mawar bukan jin menyerupai pocong kagak denger apa ya jinnya kasian kan mbak mawarnya,negatif
@user-io6lt4gz1d,7,film bya umay yaga dulu deh,negatif
@adityaofficial0123,7,pelajaran ni buat cewek cewek gua paling gak suka dengan geng motor manusia nya ugal ugalugalan kaya jin satan seperti ga di urus orang tua lagi bergaya bebas berandalan walaupun ga semua sih tapi cuma berapa ratus persen nya saja sisanya jgn msndang dari harta ketampanan dan barang nya mewah aja,negatif
@Ryoviie,7,gue malahan suka warna ungunya kek cocok gituloh,positif
@putiayuamatullah641,7,gileee suka banget warnanya dan tema yang diangkat juga mantep gak sabar nonton,positif
@NovitaCahyaa,7,liat trailernya aja udah merinding apalagi filmnyaaa,positif
@LuckyLakii,7,keknya soalnya pesugihan yang dilakukan sebuah keluargabikin usaha daging potongnya itu sukses tpi ada sesuatu dibalik itu,positif
@darmawanid8457,7,prilly latuconsina keren euy jadi produsernya,positif
@vellin81,7,gila keren banget anjir go yuni go and congrats for all your prizes,positif
@RDIIIII123,7,ga sia klo nonton film ini karna yang di ceritakan adalah kisah nyata bahkan lbh seram cerita sebenarnya,positif
@NicholasC.Mozaic244,7,scene paling mengkesal,negatif
@rizkyaldi5698,7,kena potong gak ini,netral
@henyjanawati5824,7,so excited,positif
@Riwee,7,film teraneh dan terluknut alur ngacodaun bidara gak jelas buat apaan pisau nya dirumah mesti dimaling dulu baru dipake gak jeles juga buat apaanasal usul nya gak jelas tiba pesugihan kerboo warisannya mesti perempuangak jelas juga karna apapembantu ama setannya jadi pemeran utama aktornya modarr kagak ada endingnya tiba bubarlahh kocak mending doraemon jelasshadehh,negatif
@nurulainun5548,7,apa bener di siksa nya sesadis itu kasian almh vina alfatiha untuk vina,negatif
@draunivers,6,sedikit mirip hereditary ya wkwkwk,netral
@neniazizah7186,6,barusan nonton keren sih cerita nya ga ketebak,positif
@Biwpipi,6,eh ini yang ngisi soundtrack siapa woy,netral
@DarmaSantosa-se4pe,6,vinapossesioni want iseemlm pencabut nyawamarnitemurun waw,negatif
@RentalApartemen,6,udah nonton film gak jelas nyesal nonton yaa,negatif
@VedindanVena,6,ini episode yang paling bikin saya merinding keren ceritanya dan kasian bgt part nya,positif
@jajakapreneur2490,6,beda nih horor tanpa gelapan,positif
@melaniesalatiga6505,6,thrillernya keren bgt bangkit sineas muda,positif
@yuriialyor,6,bukan maen ni horror indo makin sini makin cakep bae,positif
@diargamaulanasatrio2534,6,yang ngga bagus cuman sikapnya umay,negatif
@iqbalsodiq7400,6,temurun hereditary,positif
@echywaisapy6726,6,bosen ah horor jumpscare terssss huft horor mulu boringgggggggg pollll,negatif
@nooraisha,6,font merah kuning udah mainstream font ungu berasa kaya easter egg house of harkness dan siapa tau pesugihan di film ini datengnya dari dukun yang bernama agatha harkness wkwk,positif
@genZmarket,6,latar belakang pelakunya jd org kaya semua hehe,netral
@arsyannisafitri9426,6,kenapa harus umay sih ah tp kaya baguss mau nonton karna prilly dan pemainnya they deserve it kecuali umay pls,negatif
@naylaSaqina,6,ini mah melebihi rumah dara,positif
@parodimusix9392,6,yuni,netral
@bukanacho,5,tolong rilis ost nya dong yaampun suka bgtt,positif
@buttercupmilk,5,alfatihah buat almarhumah vina dan alm eki semoga pelakunya cepet ketangkep,netral
@tamaramadhani9203,5,a must watched film this year,positif
@linasetiyani,5,barusan nnton film ini karena penasaran doang jujur saja film ini bagus karena mengangkat kesetaraan gender dan isu yang banyak beredar khususnya di masyarakat pedalaman kaya cewe kalo nolak cowok kali jadi perawan tua dsb tapi kalo menurutku nggak terlalu ditonjolkan pesan moralnya jadi kalau penontonnya gak bisa mencerna atau nggak bisa memahami pesan moral di setiap scene nya dianggap film ini flat aja karena ya konfliknya cuma itu aja coba kalo filmnya dibikin si yuni kena dampak dari pemikiran orang itu pasti akan lebih menarik,positif
@gedeerlangga4037,5,neneknya pemain siksa kubur sama siksa neraka,netral
@putramahardika5392,5,harus nonton ini soalnya pernah nyaris kena begal di sumber cirebon,positif
@fey1603,5,film yang hanya menggunakan tragedi untuk keuntungan semata memalukan,negatif
@gigiharrasyid381,5,saya personal krg setuju klu dibuatkan film dengan embel true story tp tetep aja buat menarik atensi dan keuntungan pihak tertentu better dibuat sprti netflix saja documentary mengumpulkan fakta kronologis dan interview pihak terkait itupun hrs sesuai persetujuan klrg,negatif
@maulidaafsa6368,5,filim nya keren banget  bagus  job,positif
@gabriellamambu1322,5,di ss aja ini,netral
@wildanfirmansyah31,5,suka ah tata produksi nya mahal bener kaya hollywood memanjakan mata colorgrading cinematography pemilihan tempat gak bakal nyesel sama ada si doi carissa peruset manis,positif
@User36jsdfmfkf,5,kok di kampung kampung sih,negatif
@ZaGeovanni,5,selalu suka sama acting nya shennina,positif
@fajarkurniawan6623,5,semoga masuk nominee oscar,positif
@zulfikarfaris5682,5,ada umaynya skip,negatif
@adindaazzahra7819,5,yokk tayangin di wetv dong colab biar para ortu tau meski ga tayang ditelevisi yang penting di wetv,negatif
@wisnuwirayuda666,5,wah kolaborasi umay sm prilly lg nih udah pasti ngga akan saya tonton,negatif
@Laurenya-bv2ji,5,indo full horor,positif
@TheJalal,5,anjir kok keliatan seru,positif
@merdekaagussaputra1504,5,heriditary versi indonesia pas juga namanya temurun,positif
@muhammadharits3237,5,duh film sampah lg,negatif
@user-og7wt7kg6y,5,setnya kek film film joko anwar tapi dialognya masih lebih kaku ini hmmm,negatif
@selananya,5,wah menarikk,positif
@zrrrrrr_14,5,menarik,positif
@Bukansiapasiapamaucarilawanaja,5,keren filem y gas terus jangan kasih kendor bryan tu,positif
@HalimRasyid-zt1zz,5,hereditary kearifan lokal bukan monoton agama,positif
@arishahyunzafina4115,5,film liberal yang tak bisa lepas dari unsur ketelanjangan sarat propaganda seolaholah islam mereduksi peran perempuan dengan penggambaran sosok yuni yang berkerudung padahal permasalahan yang dialami yuni lahir dari mitos yang membudaya di masyarakat kalangan tertentu dan sistem sosial ala demokrasi liberal,negatif
@elrafiafbanim9069,5,keren banget,positif
@eyeorigins77,5,ive been waiting for this representation,positif
@boyvoyje,4,song alien child imajinasi senja,netral
@MerzaFahlevi-rv2pq,4,soalnya teriqk nya bagus,positif
@agungsetyabudi5809,4,yah kembali horor ku tahun ini diwarnai oleh yasamin,netral
@rakibrgaming8360,4,from last week after watch seksa neraka loving to watch indonesian horror movies its so scary,netral
@ikadekanggara7237,4,gamau nonton produser nya umay,negatif
@ikaqodriya,4,lagunyaaa dong spill,netral
@suryaperkasa7228,4,para sahabat kepolisian yang baiknya ayo semangat selesaikan kasus ini secepat mungkin tanpa memihak i u,positif
@Bukansiapasiapamaucarilawanaja,4,filem y bagus kali gg gas kan terus bryan tu,positif
@triyuniarsih7969,4,al fatihah buat alm kak vina dan kak eky,positif
@izulhazimy6556,4,balik balik filem seramtakde cerita lain dh ke bosan gila,negatif
@AsikinKuy,4,pengen nonton bd tapi bkn hari libur kerja mei,netral
@user-yu2jn4mk7o,4,tapi menurutku better di buat sesuai dengan alur cerita yang di podcast aja sih jd engga full genre horror tp dramahorror lebih ke cerita dr sudut pandang si mawar melihat dan deket sama sosok cowo pocongnya itu dst tp sekali lagi its just my opinion sukses terus ya,positif
@Maulana_775,4,ini syuting dmn diluar negri kah,netral
@firstiarko,4,apik,positif
@SinoNim_Hebat_KaWaN,4,kenapa kok buat filem seram terus,negatif
@aisyahmuthmainnah4213,4,buat egi elo bisa bebas dimuka bumi ini karena pastinya bekingan elo adalah orang kuat elo bukan saja bisa menikmati kebebasan elo tapi bahkan elo bisa sekolah diluar negeri yang menunjukkan bahwa orang tua elo pasti pejabatpenjahat besar tapi ingat ada pengadilan akhirat yang ga akan elo bisa lolos dari kejamnya pengadilan akherat kalau pun elo tidak  bisa tertangkap tidak  mau menyerahkan diri maka selamat bertemu dengan pengadilan akhirat,positif
@football-tw9fh,4,gw lihat endingnya kaya hah kaya gitu doang,negatif
@Ghisellaaaaa,4,makin kesini makin keren aja perfilman indonesia,positif
@themomentgaming3821,4,filmnya bagus smpe dpt penghargaan amerika westernized kwkw tpi seharusnya tidak perlu mendemonizing budaya local krn force marriage tidak hanya terjadi di indo selama pandemi ini dilihat dari trailernya seperti nya mmg ortu dan calon suaminya yang salah tpi tidak bisa disalahkan seharusnya mereka mendukung empowered yuni utk kuliah overall congrtas,netral
@user-cu5me7oc9u,4,cerita yang lebih seru nya setelah sekian lama mba vey ketemu dengan salah anggota keluarga mawardan menceritakan kejadian setelah itu,positif
@harieveryday,4,ga sabar sih iniiii arawinda keren,positif
@user-if5zl9ck2l,4,masya allah,positif
@dityspratams1974,4,gw kira komentar di youtube bakal banyak yang triggered ternyata enggk berarti bocil bocil tiktod doang yang triggered,netral
@sodasoda3624,4,nangis beberapa kali selama nonton ini aaaaaa,positif
@rulimulyanti5592,4,emang ma warna ungu kenapa dah d,netral
@pengangguran3186,4,syuting nya dirumah gw tuh,netral
@bengkelpancinguchuy2259,4,in her last year of secondary school a bright indonesian student is determined to pursue her education and resist getting married despite the expectations of her community,netral
@arina.d.a,4,penasaran kenapa ada warna ungu nya,netral
@OriRori,4,temurun in english is hereditary right,netral
@fazalsaputra-cg4pt,4,gila sih,positif
@seputardunia3730,4,agak macam mangkujiwo,netral
@rismanimengothic,4,apa memang pantas setelah memperlihatkan payudara dan pantat langsung dipakekan kerudung secara langsung merusak moral islam karena membawa konteks islam disini maaf saya hanya menanyakan,negatif
@oliveoil3890,4,sepertinya mereka disembunyikan ibu ayah mereka dari keluarga mereka cuma karena mereka mencari pengurus iblis mau gak mau mereka harus di jemput dan dijadikan pewaris baru ngeri juga jadi pewaris pesugihan,netral
@lonelylucifer8650,4,ko insecure ya pas tau siapa sutradaranya,negatif
@edchanful,4,tumben purple bgt yaaa berasa ky agatha harkness hahaha the dark and the wicked versi indo,netral
@projectmelad,4,hijab looking so bad what is that shit r they forced to wear that wtf they r still young to decide something like that shit shit the generation is dieing cuz of thinking like this you have to be free decide what u want to be and your kids will be liks you so be carefull about what do you decide to be normal like others or weirdo like shit definitely there are alotta people they incite you and your fathers against this and attach it to religion and the words of god but it is definitely not the truth god did not and will not say this this is my words and my opinion and i expressed this because i felt a kind of exploitation and slavery,negatif
@Friendlyanimal5,4,kureng y trailerny low budget dn vibeny thn an awal,negatif
@zenhimself9730,4,cant waitt,positif
@Lxh444,4,gasabarr,positif
@bajeelah6940,4,ga pernah liat bryan domani di setting film horror bikin penasaran bgt sm plot nya produsernya jg anak mudah kerenn,positif
@ryzenmikasa9503,3,trailer yang menarik tapi sampai bagian terakhir merangkak dan kayang di jalan itu malah bikin ngakak,positif
@nskr0287,3,sukaaa sampe di ulang,positif
@loneboi7067,3,template kemasukan harus kayang,netral
@dedylumentut7922,3,kayaknya keren ni film,positif
@arivantart7944,3,konflik ceritanya buanyak sekali,netral
@vansmedia2717,3,ngeriiii,negatif
@BintangRaihandikam,3,kenapa tayangnya pas ulang tahunku,negatif
@rusmanraymandar5508,3,semoga film horor falcon kali ini sukses,positif
@bobachannel1859,3,vibes nya danur banget,netral
@agusmaulana4368,3,sebagai masyarakat kota serang turut bangga atas di buat nya bahasa yang di gunakan dalam film adalah bahasa sunda jawa khas serang,positif
@fadilapalupi6310,3,kenapa nuansanya ungu ungu,negatif
@agungmulyana7534,3,yang mau nikahin nya gak ngotak orang tua gak ngotak calon suami juga gak ngotak di tambah istri calon suami gak ngotak gua yang nikah di jodohin aja sama muda ceweknya mau baru bulan udah cere,negatif
@desyi_lee2792,3,ya allahbru nonton trailernya aja udh ngga kuatngga tegakasian almarhumah semoga almarhumah vina dan almarhum eky tenang di alam sanadilapangkan kuburnya amin ya allah keluarga yang ditinggalkan juga diberikan ketabahan,positif
@nunungbahyati6512,3,bangga jadi orang banten bahasa jawa serang sunda banten keren filmnya semoga sukses,positif
@hadijahalaydrus4414,3,keren abiesss sukses perfilmman indonesia semoga makin maju,positif
@joseph3720j,3,cinematography nya sangat memanjakan mata jujur selama nonton film terkagum sama cinematography nya yang artistik,positif
@NabellaBethariKusumawardani,3,waahhh ngga sabaarrr,positif
@wildanfirmansyah31,3,ele wak posternye udah yang kemaren aja yang shennina pemain utama yang bucin sama pocong ngadep cermin terus ada pocong dibelakangnya lebih menjual,negatif
@PIR69,3,gw harus nonton dibioskop nih bisa jadi film indonesia pertama yang gw tonton di bioskop haha,positif
@Renaaaerln,3,nunggu banget,positif
@moya3252,3,kirain alurnya bakal kayak cerita di podcastnya ternyata ujungnya kayak mainan di jumpscare padahal kalo dari podcast nya itu yang bikin serem adalah betapa mengerikan creepy apa yang dialami si mawarnya saya berharapnya bakal dibikin horror yang slowburn gitu bukan yang isinya jumpscare doang,negatif
@m17ha,3,premiere today cuz lgsg nontonkasian vina nya sedih banged liat d siksa sama egy n friendssemoga yang menyakiti vina kena azab dari allah siksaan neraka utk merekasyurga utk vinaaamiin,positif
@alvifadhollah,3,wajarlah menang penghargaan di amerika mengusung tema liberal yang disukai pihak sono,positif
@ditooooooooooooo,3,gasss,positif
@nenknonk9557,3,kaya tidak asing sama judul y tpi tidak tau cerita y dn bnyk komen bilng kisah nyata baca dmna tau drimna sih gw ktinggalan,netral
@faizah_rahmadani,3,kapan tayang ya,netral
